tlist,tr,mag,coh,energy,overlap_target,overlap_instant
0.43,0.9999965693497324,0.0011358015582662584,0.000918526391590531,5.0297732197183915,0.4994303838957331,0.5001437955861627
0.44,0.9999965270228179,0.0012680140873790324,0.0010140193254062205,5.217031692461387,0.4993642564677195,0.5001530006273961
0.45,0.9999964816136688,0.0014087843942333644,0.0011214293524035945,5.4053071282447895,0.49929384860971776,0.5001590632817725
0.46,0.9999964315869319,0.001556349389595535,0.0012434352404137703,5.594401405725942,0.4992200410986682,0.5001600831128605
0.47000000000000003,0.9999963756892216,0.0017086855936758183,0.0013828859839728424,5.784113508891755,0.4991438450477729,0.5001539834252733
0.48,0.9999963129842535,0.0018636201397031482,0.0015427075847799978,5.974239484248424,0.49906634642227515,0.5001385894390598
0.49,0.9999962428628653,0.0020189607043374913,0.0017257937577539145,6.164572465355963,0.4989886410792639,0.5001117190583195
0.5,0.9999961650294205,0.002172638127661275,0.001934885377487529,6.354902799791365,0.49891176345087956,0.5000712818446478
0.51,0.999996079467562,0.002322854093690596,0.00217244599387535,6.545018307135373,0.4988366126869357,0.500015380399853
0.52,0.9999959863895043,0.0024682250739243017,0.00244054305221355,6.734704683730706,0.49876388065779,0.49994240709420246
0.53,0.9999958861739513,0.0026079129160422876,0.0027407461104112353,6.923746051981121,0.49869398662895453,0.4998511281643582
0.54,0.9999957792982259,0.002741732133084762,0.003074053921773837,7.111925631243767,0.49862702358257055,0.4997407468860439
0.55,0.9999956662702602,0.002870224262997767,0.003440861404725361,7.299026487205175,0.4985627210036312,0.4996109380135966
0.56,0.9999955475657025,0.0029946907471360973,0.0038409750796225377,7.484832300719267,0.4985004284092832,0.4994618471133324
0.5700000000000001,0.9999954235745842,0.003117177685930117,0.004273681577825783,7.669128088866723,0.498439122944327,0.49929405082467326
0.58,0.9999952945608046,0.003240408551966223,0.004737868639922503,7.851700812943354,0.49837744300441916,0.49910847733861013
0.59,0.9999951606362971,0.003367664351304811,0.005232192184131837,8.03233982107755,0.4983137481424961,0.4989062902067043
0.6,0.99999502175021,0.0035026145888840676,0.005755277290983322,8.21083709609069,0.498246203580663,0.498688742568132
0.61,0.9999948776920067,0.0036491063835804027,0.006305936143068158,8.38698730888519,0.49817288565421314,0.49845701250274577
0.62,0.9999947281061692,0.0038109228024398867,0.006883382851333967,8.560587709240188,0.49809190265186465,0.49821203296714034
